Jul 14, 2023  04:44:08 PM
Residual Gas Analyzer Software 
Software Version, 3.218.004

Analog Scan Setup:

Data Points in Scan, 641 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 65, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1022, Volts
CEM Gain, 1.31E+003 
Sensitivity Factor, 2.13E-004 
Filament Current, 1.00, mAmps


 44.70,   4.23E-011, 
 44.80,  -8.47E-012, 
 44.90,  -1.46E-011, 
 45.00,   9.41E-013, 
 45.10,   2.68E-011, 
 45.20,   1.32E-011, 
 45.30,   1.88E-011, 
 45.40,  -1.51E-011, 
 45.50,   2.59E-011, 
 45.60,  -1.27E-011, 
 45.70,  -5.83E-011, 
 45.80,  -4.05E-011, 
 45.90,  -8.18E-011, 
 46.00,  -1.05E-010, 
 46.10,  -1.19E-010, 
 46.20,  -2.87E-011, 
 46.30,  -7.15E-011, 
 46.40,  -9.60E-011, 
 46.50,  -4.99E-011, 
 46.60,  -7.81E-011, 
 46.70,  -9.08E-011, 
 46.80,  -9.45E-011, 
 46.90,  -1.43E-010, 
 47.00,  -1.75E-010, 
 47.10,  -1.59E-010, 
 47.20,  -1.10E-010, 
 47.30,  -1.26E-010, 
 47.40,  -1.51E-010, 
 47.50,  -1.56E-010, 
 47.60,  -1.75E-010, 
 47.70,  -1.27E-010, 
 47.80,  -1.36E-010, 
 47.90,  -1.84E-010, 
 48.00,  -1.72E-010, 
 48.10,  -1.68E-010, 
 48.20,  -1.46E-010, 
 48.30,  -1.00E-010, 
 48.40,  -1.33E-010, 
 48.50,  -1.40E-010, 
 48.60,  -1.19E-010, 
 48.70,  -9.22E-011, 
 48.80,  -1.25E-010, 
 48.90,  -1.59E-010, 
 49.00,  -1.59E-010, 
 49.10,  -1.90E-010, 
 49.20,  -1.74E-010, 
 49.30,  -1.71E-010, 
 49.40,  -1.35E-010, 
 49.50,  -1.35E-010, 
 49.60,  -1.83E-010, 
 49.70,  -1.72E-010, 
 49.80,  -1.35E-010, 
 49.90,  -1.16E-010, 
 50.00,  -1.49E-010, 
 50.10,  -7.10E-011, 
 50.20,  -3.15E-011, 
 50.30,  -4.70E-011, 
 50.40,  -1.12E-010, 
 50.50,  -1.07E-010, 
 50.60,  -1.11E-010, 
 50.70,  -8.37E-011, 
 50.80,  -1.21E-010, 
 50.90,  -1.66E-010, 
 51.00,  -1.50E-010, 
 51.10,  -1.56E-010, 
 51.20,  -1.72E-010, 
 51.30,  -1.80E-010, 
 51.40,  -1.57E-010, 
 51.50,  -1.64E-010, 
 51.60,  -1.16E-010, 
 51.70,  -1.05E-010, 
 51.80,  -1.10E-010, 
 51.90,  -1.11E-010, 
 52.00,  -9.36E-011, 
 52.10,  -1.24E-010, 
 52.20,  -1.51E-010, 
 52.30,  -1.83E-010, 
 52.40,  -1.55E-010, 
 52.50,  -1.55E-010, 
 52.60,  -1.68E-010, 
 52.70,  -1.92E-010, 
 52.80,  -2.06E-010, 
 52.90,  -1.80E-010, 
 53.00,  -1.65E-010, 
 53.10,  -1.79E-010, 
 53.20,  -1.67E-010, 
 53.30,  -1.42E-010, 
 53.40,  -1.35E-010, 
 53.50,  -1.19E-010, 
 53.60,  -4.61E-011, 
 53.70,  -7.86E-011, 
 53.80,  -1.55E-010, 
 53.90,  -1.92E-010, 
 54.00,  -1.75E-010, 
 54.10,  -2.58E-010, 
 54.20,  -2.49E-010, 
 54.30,  -1.68E-010, 
 54.40,  -1.68E-010, 
 54.50,  -1.33E-010, 
 54.60,  -1.39E-010, 
 54.70,  -1.01E-010, 
 54.80,  -1.16E-010, 
 54.90,  -1.37E-010, 
 55.00,  -8.37E-011, 
 55.10,  -8.37E-011, 
 55.20,  -1.66E-010, 
 55.30,  -1.55E-010, 
